City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Horn,DE,2022-04-06 23:05:47,51.8715,8.9451,48.74,81,98,17.09
205,Jaguaruna,BR,2022-04-06 23:05:47,-28.615,-49.0256,68.67,85,95,5.14
206,Lebu,CL,2022-04-06 23:05:47,-37.6167,-73.65,57.38,89,85,5.64
207,Baghmara,IN,2022-04-06 23:05:48,23.795,86.2085,72.84,69,1,2.37
208,Namwala,ZM,2022-04-06 23:05:48,-15.7504,26.4384,65.01,95,92,1.19
209,Vanimo,PG,2022-04-06 23:05:48,-2.6741,141.3028,80.49,84,100,4.18
210,Kavieng,PG,2022-04-06 23:05:49,-2.5744,150.7967,78.62,86,100,2.71
211,Langsa,ID,2022-04-06 23:05:49,4.4683,97.9683,72.86,98,100,0.98
212,Namibe,AO,2022-04-06 23:05:49,-15.1961,12.1522,72.88,71,1,3.44
213,Cam Ranh,VN,2022-04-06 23:05:50,11.9214,109.1591,76.96,73,40,10.36
214,Sterlibashevo,RU,2022-04-06 23:05:50,53.4376,55.2578,36.46,98,100,12.97
215,Lufilufi,WS,2022-04-06 23:05:50,-13.8745,-171.5986,86.79,80,73,22.01
216,Klaksvik,FO,2022-04-06 23:05:51,62.2266,-6.589,36.52,77,100,40.56
217,Xining,CN,2022-04-06 23:05:51,36.6167,101.7667,41.54,39,0,1.79
218,Silver City,US,2022-04-06 23:05:51,32.7701,-108.2803,77.67,9,0,16.11
219,Egvekinot,RU,2022-04-06 23:05:52,66.3167,-179.1667,-9.6,88,86,3.31
220,Sirjan,IR,2022-04-06 23:05:52,29.452,55.6814,61.59,18,11,3.42
221,Andradina,BR,2022-04-06 23:05:52,-20.8961,-51.3794,78.82,72,85,7.36
222,Marsh Harbour,BS,2022-04-06 23:05:32,26.5412,-77.0636,78.91,76,10,11.39
223,Yuli,NG,2022-04-06 23:05:53,9.6989,10.2744,82.4,59,41,10.67
224,San Clemente,US,2022-04-06 23:05:53,33.427,-117.612,99.73,67,3,1.99
225,Evensk,RU,2022-04-06 23:06:53,61.95,159.2333,16.72,72,24,4.68
226,Grindavik,IS,2022-04-06 23:06:54,63.8424,-22.4338,27.07,68,40,18.41
227,Port Blair,IN,2022-04-06 23:06:54,11.6667,92.75,79.84,80,100,3.69
228,Tutoia,BR,2022-04-06 23:06:54,-2.7619,-42.2744,77.27,90,100,7.96
229,Verkhoyansk,RU,2022-04-06 23:06:54,67.5447,133.385,0.52,94,100,0.98
230,Bonavista,CA,2022-04-06 23:06:55,48.6499,-53.1147,32.09,98,100,22.77
231,Guiratinga,BR,2022-04-06 23:06:55,-16.3494,-53.7583,76.91,62,6,3.49
