City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Shenjiamen,CN,29.9576,122.298,60.71,98,62,11.88,broken clouds
313,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,70,75,5.75,broken clouds
314,Portland,US,45.5234,-122.6762,47.1,74,100,8.05,overcast clouds
315,Caravelas,BR,-17.7125,-39.2481,84.92,63,5,10.18,clear sky
316,Tigzirt,DZ,36.8886,4.1198,59.86,81,16,16.22,few clouds
317,Alice Springs,AU,-23.7,133.8833,69.22,32,60,0.0,broken clouds
318,Tarko-Sale,RU,64.9225,77.785,23.4,96,100,15.1,light snow
319,Nalut,LY,30.3333,10.85,75.16,13,0,12.08,clear sky
320,Qaqortoq,GL,60.7167,-46.0333,35.02,51,100,4.43,overcast clouds
321,Norman Wells,CA,65.282,-126.8329,8.64,72,40,9.22,scattered clouds
322,Namatanai,PG,-3.6667,152.4333,79.47,79,76,5.99,broken clouds
323,Sechura,PE,-5.5569,-80.8222,82.72,55,81,12.19,broken clouds
324,Gizo,SB,-8.103,156.8419,82.24,73,88,4.68,overcast clouds
325,Nioro,GM,13.35,-15.75,105.76,8,11,8.32,few clouds
326,Forest,US,37.3638,-79.2897,56.12,43,75,11.5,broken clouds
327,Ignalina,LT,55.35,26.1667,37.45,77,73,8.55,broken clouds
328,Buraydah,SA,26.326,43.975,86.45,13,39,12.44,scattered clouds
329,Big Spring,US,32.2504,-101.4787,85.23,16,0,14.97,clear sky
330,Killybegs,IE,54.6333,-8.45,51.51,79,100,20.18,overcast clouds
331,Birao,CF,10.2849,22.7882,85.8,43,83,5.93,broken clouds
332,Hammerfest,NO,70.6634,23.6821,36.05,75,40,14.97,scattered clouds
333,Bandarban,BD,22.1965,92.2262,74.07,98,9,2.42,clear sky
334,Mareeba,AU,-17.0,145.4333,74.48,92,61,2.55,broken clouds
335,Kupang,ID,-10.1667,123.5833,76.17,86,3,5.1,clear sky
336,Mackay,AU,-21.15,149.2,75.69,100,40,12.66,scattered clouds
337,Chicama,PE,-7.8447,-79.1469,80.04,60,86,10.74,overcast clouds
338,Stjordalshalsen,NO,63.4681,10.9262,39.51,87,75,32.21,broken clouds
339,Nanakuli,US,21.3906,-158.1547,77.04,69,100,4.61,overcast clouds
340,Pitimbu,BR,-7.4706,-34.8086,84.79,71,59,14.67,broken clouds
341,Avera,US,33.194,-82.5271,68.56,30,0,7.14,clear sky
342,Ilhabela,BR,-23.7781,-45.3581,79.23,73,89,5.73,overcast clouds
343,Zhigansk,RU,66.7697,123.3711,-1.77,98,9,9.53,clear sky
344,Hualmay,PE,-11.0964,-77.6139,73.02,75,45,10.02,scattered clouds
