City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Portland,US,47.1,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
315,Caravelas,BR,84.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
316,Tigzirt,DZ,59.86,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
317,Alice Springs,AU,69.22,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
318,Tarko-Sale,RU,23.4,light snow,64.9225,77.785,Yubileynaya
320,Qaqortoq,GL,35.02,overcast clouds,60.7167,-46.0333,Siniffik Inn
321,Norman Wells,CA,8.64,scattered clouds,65.282,-126.8329,Heritage Hotel
322,Namatanai,PG,79.47,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
323,Sechura,PE,82.72,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
324,Gizo,SB,82.24,overcast clouds,-8.103,156.8419,Imagination Island
326,Forest,US,56.12,broken clouds,37.3638,-79.2897,Days inn
327,Ignalina,LT,37.45,broken clouds,55.35,26.1667,"Hotel - Restaurant ""Zuvedra"""
328,Buraydah,SA,86.45,scattered clouds,26.326,43.975,Mövenpick Qassim
329,Big Spring,US,85.23,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
330,Killybegs,IE,51.51,overcast clouds,54.6333,-8.45,Tara Hotel
332,Hammerfest,NO,36.05,scattered clouds,70.6634,23.6821,Skytterhuset
333,Bandarban,BD,74.07,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
334,Mareeba,AU,74.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
335,Kupang,ID,76.17,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
336,Mackay,AU,75.69,scattered clouds,-21.15,149.2,International Lodge Motel
337,Chicama,PE,80.04,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
338,Stjordalshalsen,NO,39.51,broken clouds,63.4681,10.9262,"Radisson Blu Hotel, Trondheim Airport"
339,Nanakuli,US,77.04,overcast clouds,21.3906,-158.1547,Camp Pālehua
340,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
342,Ilhabela,BR,79.23,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
343,Zhigansk,RU,-1.77,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
344,Hualmay,PE,73.02,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
